path,status,target_lufs,true_peak_db,target_lra,before_input_i,before_input_tp,before_input_lra,applied_offset,after_input_i,after_input_tp,after_input_lra,backup
assets\pay1.wav,normalized,-12,-1,11,-15.46,-3.63,0.00,0.81,-12.81,-1.00,0.00,C:\Users\RIZI1\Documents\Codex\2026-05-15\new-chat\jag\_audio_backup\normalize_payout_focus_20260616_215634\assets\pay1.wav
assets\rep.wav,normalized,-12,-1,11,-16.88,-6.46,0.00,0.01,-12.01,-1.58,0.00,C:\Users\RIZI1\Documents\Codex\2026-05-15\new-chat\jag\_audio_backup\normalize_payout_focus_20260616_215634\assets\rep.wav
