"Status","Source","Destination"
"SKIP_DUPLICATE_CURRENT_PRIORITY","C:\Users\RIZI1\Dropbox (旧)\ストグラ\スロット開発\素材\slot_cabinet_frame_data_windows_off.png","C:\Users\RIZI1\Dropbox\ストグラ\スロット開発\素材\slot_cabinet_frame_data_windows_off.png"
"SKIP_DUPLICATE_CURRENT_PRIORITY","C:\Users\RIZI1\Dropbox (旧)\ストグラ\スロット開発\素材\slot_cabinet_frame_data_windows_on.png","C:\Users\RIZI1\Dropbox\ストグラ\スロット開発\素材\slot_cabinet_frame_data_windows_on.png"
